,sentences
0,actually little disease magazine news show natural think
1,know sure like talk touch lesson plan teach
2,life worth live
3,poll open end recess case decide thought final statement martin
4,victory party slide
5,mr bergstrom mr bergstrom
6,hey hey move morning new job take copernicus costume
7,think take train capital city
8,train like traditional environmentally sound
9,yes backbone country leland stanford drive golden spike promontory point
10,hey thank vote man
11,vote voting geek
12,get right thank vote girl
13,sweat long couple people right milhouse
14,martin martin like recount
15,want sure martin martin
16,way mister president
17,board track afternoon delight come shelbyville parkville
18,mr bergstrom hey mr bergstrom
19,oh mean go leave like
20,ah sorry lisa know life substitute teacher fraud today wear gym short tomorrow speak french pretend know run band see god know
21,ah true teacher come
22,lie good know need project capital city
23,problem middle class anybody care abandon need
24,understand mr bergstrom go miss
25,feel like rely need know
26,thank mr bergstrom
27,guess mind run alongside train speed life
28,goodbye lisa honey okay read note
29,throw party big bash champagne musician holy man
30,bart vote oh bad thing happen alright allright spill milk spill milk spill milk mopey
31,lisa tell father
32,mr bergstrom leave today
33,hey care mean understand
34,glad cry hate think base emotion sir baboon
35,yes baboon baboon baboon baboon
36,think realize say
37,whoa somebody bind day believe
38,hear marge call baboon stupid ugly smelliest ape
39,homer allow hurt feeling right little girl upstairs need confidence father shake little girl happy faith daddy
40,lisa hold tell cry call daddy baboon
41,look want forgive
42,maybe help lose special hurt lucky lose special special roof
43,child time bed
44,true lot special people life lisa probably place food real good guy like serve drink oh maybe explain fix doll house good monkey work know monkey know mean
45,hold nail place tail
46,sorry call baboon dad
47,hey matter son
48,ah dad milhouse lewis vote
49,hey son get money class president
50,martin guy go neat like throw ball world series huh
51,let baby bottle huh motto
52,hey thank monkey man
53,holy moly talk parent
54,sleep maggie ah
55,marge let bed big roll life
56,mmm hors doover
57,promise eat lie
58,homer throw party go to pay friend invite home
59,mom want hear witty banter sophisticated adult
60,yeah fun bed
61,oh son old know well
62,hmmm oh baby mmmm yeah
63,gag ice cub
64,homer homer record
65,hey anybody mind serve bartender know ph d mixology
66,hey homer care try flander planter punch
67,hey flander time little alcohol
68,au contraire simpson shot rum jigger bourbon little dab roo creme de cassis flavor
69,warm sense ssslurre shpeech right
70,homer easy al ky hol remember year winfield party throw laundry hamper
71,hi homer sister law right remember remember beau tiful
72,ow hey jeez
73,new kind mace painful
74,oh dr hibbert enjoy party
75,uh slip novelty ice cube fake fly drink
76,homer novelty ice cube highly toxic chemical ironically real fly sanitary
77,look face priceless
78,little monkey little monkey
79,bart thing cute
80,hey everybody look funniest guy world
81,oh homer king
82,wantin ' tell year nerve
83,homer know wife wife friend meet hour ago
84,stink lousy operation stinks quit
85,uh gee homer quit
86,handful peanut maude
87,hey thank invitin ' wonderful time
88,want live night suggest roll
89,hmmm thank dr hibbert thank come
90,want sure kid hear young hate know parent fight
91,music send chill spine
92,homer remember way act party night
93,say wet clothe dry martini
94,good lord fly drink
95,slip glass gag
96,pronounce whimsical jape season
97,homer like think patient tolerant woman line cross stop love night cross line throw
98,sorry honey forget church
99,go church today go stay explain bart scar life
100,oh mean inside
101,night notice daddy act little strange probably understand
102,admit know sorry happen hope lose lot respect
103,sneak preview week sermon announcement new pamphlet available church newsrack include bible baffler satan boner good grief satan boner teen cool fry hell
104,sorry lord compete squeaking homer simpson shoe hold take seat
105,mrs lovejoy hold annual marriage retreat weekend catfish lake psychological counseling couple marriage hang thread
106,  need tune
107,wish participate sign way service
108,simpson attend little retreat
109,oh tempting wonderful idea
110,marriage encounter weekend come
111,hold catfish lake catfish lake catfish
112,go retreat marriage tune fishing
113,hello mrs simpson
114,oh suppose sitter short notice
115,oh dear find babysitter kick tooth
116,need babysitter half
117,tone young lady taste hand
118,wonder think babysit kid weekend ask desperate
119,oh sure resort old grampa feeb guy count dagnabit agin
120,marge puttin ' thing trunk
121,maggie run fever number stick finger electrical socket number drink pine cleanser
122,right right goodbye child behave
123,number grampa fall bathtub
124,grampa mom hurry forget list thing lisa
125,uh huh uh huh allow smoke cigar
126,whoa well gas
127,fill ' er guess stretch leg
128,oh general sherman ya
129,wait wait minute wait minute general sherman
130,big catfish part
131,  weigh upwards pound
132,know picture general exactly freakishly big
133,hmmmm gentleman go catch general sherman
134,supermarket video store grab krusty burger head arcade
135,bart grampa kindly old man trust sure right advantage
136,lis crazy topsy turvy time right wrong right gut tell bleed gramp dry
137,ah mr mrs simpson welcome
138,hello reverend glad come oh hello helen
139,hel lo marge
140,homer simpson marriage little spit shine
141,uh uh reverend go to chance fishing
142,oh afraid marriage reconcile hour homer take weekend
143,bait hook honesty way happy marriage will get away
144,understand bowling expression
145,ah couple good turnout room introduce tell little bit john gloria
146,gloria johnny boy able cut manwise time want odor gin sour defeat press
147,thank gloria john tell little
148,cook keep filthy house talk profanely queen harpy
149,come right place want look eye
150,eye forget beautiful
